JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
GMI;11984;2215062;Linia;;13209;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13675;0;828615;PL.PZGIK.200;1390c4e1-06bb-461b-8593-a0ec1b57ea77;2012-09-26T22:46:31+02:00;EGIB;2215062;;;UZG;0;828615;0;;0;0;0,8300935611;0,0165999867;19167532700000
GMI;3480;1413011;Mława;;13240;26.09.2012;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;13706;0;828865;PL.PZGIK.200;05b96130-adcf-42bc-8ef4-88d5b333a6d2;2012-09-26T22:52:42+02:00;EGIB;1413011;;;UZG;0;828865;0;;0;0;0,4834923134;0,0046714523;13037783000000
GMI;20016;1429053;Kosów Lacki;;13255;18.05.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;219096;0;825947;PL.PZGIK.200;45526654-524e-4cc6-9e42-a64960eca509;2021-05-18T08:56:02+02:00;EGIB;1429053;;;UZG;0;1360153;0;;0;0;1,0786936444;0,0265385692;71158204900000
GMI;1656;2208021;Łeba;;13199;18.05.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;219097;0;828532;PL.PZGIK.200;edacdf68-d9fb-4aee-a37a-e46e8292b606;2021-05-18T09:45:11+02:00;EGIB;2208021;;;UZG;0;1360180;0;;0;0;0,4297430954;0,0023105139;77097974300000
GMI;17191;2802062;Płoskinia;;13063;19.05.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;219164;0;827080;PL.PZGIK.200;5fd3f80c-adeb-4185-8808-ab43663ed49f;2021-05-19T13:44:28+02:00;EGIB;2802062;;;UZG;0;1360215;0;;0;0;1,2268166322;0,0237002655;17074803400000
GMI;42410;2807032;Iława;;13047;4.06.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;221063;0;826965;PL.PZGIK.200;43ea4a4a-d8a2-4c1b-bb8c-91993b3f3b5f;2021-06-04T14:11:51+02:00;EGIB;2807032;;;UZG;0;1360470;0;;0;0;2,0305586192;0,0576013725;51074289900000
GMI;8238;1423052;Potworów;;13250;9.08.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;230111;0;828974;PL.PZGIK.200;f262c839-4d92-465a-a879-8701892a9361;2021-08-09T09:54:00+02:00;EGIB;1423052;;;UZG;0;1360977;0;;0;0;0,6229156913;0,010660161;67022389900000
GMI;28911;0201022;Bolesławiec;;13381;13.08.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;231635;0;827796;PL.PZGIK.200;6026a6ae-d234-48d3-8466-94678164d691;2021-08-13T09:40:30+02:00;EGIB;0201022;;;UZG;0;1361058;0;;0;0;1,8583167321;0,0372664221;23082145700000
GMI;10853;1201032;Drwinia;;13314;22.08.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;233260;0;826421;PL.PZGIK.200;13c922e6-af91-49f2-bc9c-ba86cd59d4bd;2021-08-22T14:47:51+02:00;EGIB;1201032;;;UZG;0;1361195;0;;0;0;0,6630676188;0,013632286;35155597300000
GMI;6278;1206022;Igołomia-Wawrzeńczyce;;13318;22.08.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;233260;0;826460;PL.PZGIK.200;c1b9f35e-c8d2-408b-b1ac-bf59596aeec9;2021-08-22T14:47:51+02:00;EGIB;1206022;;;UZG;0;1361198;0;;0;0;0,5852466984;0,0078901381;35155589000000
GMI;5679;2402093;Wilamowice;;13133;16.11.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;245443;0;827552;PL.PZGIK.200;8502d430-3f23-44fb-b4c0-dc8ce2514aed;2021-11-16T14:54:27+01:00;EGIB;2402093;;;UZG;0;1361464;0;;0;0;0,5038208887;0,0071080483;07218232100000
GMI;28066;0810092;Żagań;;13194;10.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;250003;0;828483;PL.PZGIK.200;6451ab93-b2d2-447d-897c-95020a6a5f81;2021-12-10T14:23:10+01:00;EGIB;0810092;;;UZG;0;1361672;0;;0;0;2,155101227;0,0364024217;97077049700000
GMI;10411;0607072;Trzydnik Duży;;13163;30.11.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;248010;0;828228;PL.PZGIK.200;e7a96d16-8e75-4e7a-852c-f8b465ac722c;2021-11-30T17:01:25+01:00;EGIB;0607072;;;UZG;0;1361625;0;;0;0;0,7310828857;0,0132896369;83040967200000
GMI;15852;1406083;Nowe Miasto nad Pilicą;;13265;14.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;250411;0;826040;PL.PZGIK.200;f234b9a0-28df-4054-9f28-dfe31feb64e1;2021-12-14T14:03:12+01:00;EGIB;1406083;;;UZG;0;1361703;0;;0;0;1,0287723141;0,0205755495;67022336200000
GMI;16626;2013102;Wysokie Mazowieckie;;13347;14.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;250417;0;826774;PL.PZGIK.200;3e9371a6-a42e-470d-91c2-cb0d15390e3b;2021-12-14T14:21:58+01:00;EGIB;2013102;;;UZG;0;1361722;0;;0;0;1,343507755;0,0222179269;45067024900000
GMI;14182;0414083;Pruszcz;;13394;16.12.2021;2.01.1;16.12.2021;2.01.1;;;NZN;NZN;251042;0;827917;PL.PZGIK.200;2d894ef4-cee4-424b-8d6a-e951a98a1273;2021-12-16T11:50:31+01:00;EGIB;0414082;;;UZG;0;1361757;0;;0;0;0,9770188996;0,019125708;09235105000000
GMI;11173;1015013;Bolimów;;13229;17.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;251060;0;828770;PL.PZGIK.200;6599b5a4-9310-4840-ac35-e604bd9cda96;2021-12-17T11:36:41+01:00;EGIB;1015012;;;UZG;0;1361883;0;;0;0;0,6686174501;0,0146470269;75014786300000
GMI;10909;2404123;Olsztyn;;13136;21.12.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;251852;0;827589;PL.PZGIK.200;3acb51a4-7e27-4518-9d39-a0d0a23a9535;2021-12-21T13:33:00+01:00;EGIB;2404122;;;UZG;0;1362002;0;;0;0;0,6083913842;0,0138922987;51074236200000
