JPT_SJR_KO,C,3;JPT_POWIER,N,19,11;JPT_KOD_JE,C,20;JPT_NAZWA_,C,128;JPT_ORGAN_,C,254;JPT_JOR_ID,N,9,0;WERSJA_OD,D;WERSJA_DO,D;WAZNY_OD,D;WAZNY_DO,D;JPT_KOD__1,C,3;JPT_NAZWA1,C,3;JPT_ORGAN1,C,3;JPT_WAZNA_,C,3;ID_BUFORA_,N,19,11;ID_BUFORA1,N,19,11;ID_TECHNIC,N,9,0;IIP_PRZEST,C,20;IIP_IDENTY,C,128;IIP_WERSJA,C,32;JPT_KJ_IIP,C,20;JPT_KJ_I_1,C,128;JPT_KJ_I_2,C,32;JPT_OPIS,C,254;JPT_SPS_KO,C,3;ID_BUFOR_1,N,9,0;JPT_ID,N,9,0;JPT_POWI_1,N,19,11;JPT_KJ_I_3,C,3;JPT_GEOMET,N,19,11;JPT_GEOM_1,N,19,11;Shape_Leng,N,19,11;Shape_Area,N,19,11;REGON,C,254
POW;99195;1807;powiat krośnieński;;13415;28.01.2021;2.01.1;1.01.2017;2.01.1;;;NZN;BRK;201859;0;1331302;PL.PZGIK.200;798ef296-2055-4890-993f-d414c67164ab;2021-01-28T13:43:40+01:00;EGIB;1807;;;UZG;0;1359583;0;;0;0;3,1120533735;0,1233262656;37044051900000
POW;141301;2804;powiat elbląski;;13422;14.05.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;218263;0;829271;PL.PZGIK.200;61a0d267-58aa-4f3a-86e7-faa281e50ebc;2021-05-14T13:19:46+02:00;EGIB;2804;;;UZG;0;1360107;0;;0;0;4,2521309989;0,1941797563;17074769000000
POW;209355;1415;powiat ostrołęcki;;13409;18.05.2021;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;219096;0;829100;PL.PZGIK.200;d2f96418-0366-4f59-8793-fef1aa0ca19f;2021-05-18T08:56:02+02:00;EGIB;1415;;;UZG;0;1360143;0;;0;0;5,3164100962;0,2812531703;55066883500000
POW;79095;0413;powiat sępoleński;;13424;12.01.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;253504;0;829353;PL.PZGIK.200;09447bc4-a3c3-4d84-83ab-d61a69820974;2022-01-12T10:03:23+01:00;EGIB;0413;;;UZG;0;1362180;0;;0;0;2,0031330001;0,1069016079;09235092600000
POW;126602;3019;powiat pilski;;13417;12.01.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;253504;0;829157;PL.PZGIK.200;196c6cd5-4f8d-4e98-a653-e0a36ccac728;2022-01-12T10:03:23+01:00;EGIB;3019;;;UZG;0;1362184;0;;0;0;4,1713450471;0,1700821643;57079948000000
POW;72240;3011;powiat kościański;;13417;1.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;254440;0;829182;PL.PZGIK.200;e1a22799-6f8a-4895-a68d-80d8609442be;2022-02-01T15:18:49+01:00;EGIB;3011;;;UZG;0;1362984;0;;0;0;2,0328270017;0,0946387613;41105049700000
POW;189992;3021;powiat poznański;;13417;1.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;254440;0;829159;PL.PZGIK.200;f5c4ac99-7db7-4d8d-a453-e88e9942fbad;2022-02-01T15:18:49+01:00;EGIB;3021;;;UZG;0;1362985;0;;0;0;5,4258418444;0,2508135678;63125799200000
POW;101673;0408;powiat lipnowski;;13424;24.02.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;256567;0;829348;PL.PZGIK.200;211161a0-49fe-498c-980e-ef42b94a8129;2022-02-24T11:45:52+01:00;EGIB;0408;;;UZG;0;1363167;0;;0;0;2,900511841;0,1355068606;91086649400000
POW;73481;1428;powiat sochaczewski;;13409;15.04.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;265304;0;829114;PL.PZGIK.200;c3ff7aa2-2052-44ec-aa0d-8b78c0c49e44;2022-04-15T08:27:30+02:00;EGIB;1428;;;UZG;0;1363664;0;;0;0;2,3161831154;0,0967320477;75014780500000
POW;53379;1432;powiat warszawski zachodni;;13409;15.04.2022;2.01.1;26.09.2012;2.01.1;;;NZN;NZN;265304;0;829116;PL.PZGIK.200;22810a72-1b4e-46b7-b9f8-bfdc66e42f22;2022-04-15T08:27:30+02:00;EGIB;1432;;;UZG;0;1363665;0;;0;0;2,27064806;0,0702649274;01327199600000
